,job_offer,link,company,redshift,sql,kpi,py,xp,R,business,insights,tableau,looker,qlik,pbi,ab,stakeholders,quant,oper,mgmt,location,Seniority
65,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-interquest-group-1909887352?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,InterQuest Group,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,2,5,London,Not determined
66,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-s3-associates-limited-1945119639?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Error scraping company,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,London,Not determined
67,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-datahead-1910344960?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,DATAHEAD,0,0,0,2,1,1,3,1,1,0,0,0,0,2,0,0,0,London,Not determined
68,Market Research Data Analyst,https://uk.linkedin.com/jobs/view/market-research-data-analyst-at-ipsos-mori-1914552403?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ipsos MORI,0,0,0,0,5,0,1,2,0,0,0,0,0,0,3,0,8,London,Not determined
69,Commercial Data Insight Analyst,https://uk.linkedin.com/jobs/view/commercial-data-insight-analyst-at-virgin-media-1910393007?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Virgin Media,0,3,0,0,1,0,1,3,0,0,0,0,0,1,0,1,6,London,Not determined
70,Data Analyst - Contract role - London,https://uk.linkedin.com/jobs/view/data-analyst-contract-role-london-at-wmrecruit-1942146647?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WMRecruit ,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,London,Not determined
71,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-wevee-1912731691?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WeVee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,London,Not determined
72,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-charityjob-1946409642?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,CharityJob,0,0,0,0,7,1,1,2,0,0,0,0,0,0,5,0,1,London,Not determined
73,Data Analyst - Simulation,https://uk.linkedin.com/jobs/view/data-analyst-simulation-at-ocado-group-1907764619?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ocado Group,0,2,0,2,3,0,5,1,2,0,0,0,0,4,0,1,0,London,Not determined
74,"Data Analyst, UK Marketing",https://uk.linkedin.com/jobs/view/data-analyst-uk-marketing-at-peloton-interactive-1908897132?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Peloton Interactive,0,2,3,1,5,1,5,0,1,5,0,0,0,2,0,1,1,London,Not determined
75,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-oviva-1914561273?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Oviva,0,1,1,2,5,0,6,1,0,0,0,0,0,1,0,0,3,London,Not determined
76,Data Analyst - Maritime,https://uk.linkedin.com/jobs/view/data-analyst-maritime-at-informa-1909048346?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Informa,0,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,2,London,Not determined
77,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-hero%C2%AE-1902429266?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,HERO®,0,2,0,0,5,0,5,1,0,0,0,0,0,1,0,0,2,London,Not determined
78,Data Analyst - REMOTE,https://uk.linkedin.com/jobs/view/data-analyst-remote-at-ipresence-ca-1915197603?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,iPresence.ca,0,3,0,0,1,1,4,3,0,0,0,0,2,0,1,0,3,London,Not determined
79,Junior Data Analyst,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-iris-1909823452?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Iris,0,1,0,1,7,1,4,2,1,0,1,0,0,0,0,0,0,London,Junior Position
80,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-wevee-1912731691?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WeVee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,London,Not determined
81,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-datahead-1910344960?refId=c37d34f5-1d43-499c-b9c8-46b9a359edbf&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,DATAHEAD,0,0,0,2,1,1,3,1,1,0,0,0,0,2,0,0,0,London,Not determined
