,job_title,company,salary,location,salary_mean,Temporality,Annualized,Seniority
415,Clinical Data Analyst,Parexel,56 k € - 61 k €,Berlin,58,Yearly,58000,Not determined
416,Data Analyst Intern - Por mes,Medigo,1 k € - 1 k €,Berlin,1,Monthly,12000,Internship
417,Master Data Analyst,Weber-Stephen Products,48 k € - 52 k €,Berlin,50,Yearly,50000,Not determined
418,Big Data Analyst - Por mes,Universität Siegen,3 k € - 3 k €,Berlin,3,Monthly,36000,Not determined
419,Product Data Analyst,Zalando,45 k € - 49 k €,Berlin,47,Yearly,47000,Not determined
420,Datenanalyst - Becario por mes,Zalando,687 € - 739 €,Berlin,713,Monthly,8556,Internship
421,Datenanalyst,Zalando,52 k € - 56 k €,Berlin,54,Yearly,54000,Not determined
422,Datenanalyst - Por mes,Groupon,5 k € - 5 k €,Berlin,5,Monthly,60000,Not determined
423,Datenanalyst - Becario por hora,Move24,15 € - 16 €,Berlin,16,Hourly,28800,Internship
424,Datenanalyst - Becario por mes,Flaconi,407 € - 439 €,Berlin,423,Monthly,5076,Internship
425,Senior Financial Data Analyst,Ratepay,67 k € - 73 k €,Berlin,70,Yearly,70000,Senior Position
426,Data Analyst Trainee,Ubiqum Code Academy,52 k € - 57 k €,Berlin,54,Yearly,54000,Not determined
427,Data Analyst,Deloitte,24.799 €,Madrid,25,Yearly,25000,Not determined
428,Data Analyst,JLL,27 k € - 30 k €,Madrid,28500,Yearly,28500,Not determined
429,Data Analyst,ALD Automotive,34 k € - 37 k €,Madrid,35500,Yearly,35500,Not determined
430,Data Analyst,Morningstar,27 k € - 29 k €,Madrid,28000,Yearly,28000,Not determined
431,Data Analyst,Accenture,28 k € - 31 k €,Madrid,29500,Yearly,29500,Not determined
432,Data Analyst,Telefónica,20 k € - 21 k €,Madrid,20500,Yearly,20500,Not determined
433,Data Analyst,Telefónica,25 k € - 27 k €,Madrid,26000,Yearly,26000,Not determined
434,Data Analyst,Santander,35 k € - 38 k €,Madrid,36500,Yearly,36500,Not determined
435,Data Analyst - Becario por mes,BBVA,963 € - 1 k €,Madrid,982,Monthly,11784,Internship
