,job_title,company,salary,location,salary_mean,temp,seniority
567,Data Analyst,Gamesys,32.483 £/año,London,32.483,Yearly,Not determined
568,Data Analyst,The Telegraph,28.026 £/año,London,28.026,Yearly,Not determined
569,Data Analyst,Radisson Hotel Group,39.472 £/año,London,39.472,Yearly,Not determined
570,Data Analyst,Revolut,50.000 £/año,London,50.0,Yearly,Not determined
571,Data Analyst,uSwitch,42.496 £/año,London,42.496,Yearly,Not determined
572,Data Analyst,NHS Improvement,40.576 £/año,London,40.576,Yearly,Not determined
573,Data Analyst,Financial Services Compensation Scheme,34.175 £/año,London,34.175,Yearly,Not determined
574,Data Analyst,Rocket Fuel,36.725 £/año,London,36.725,Yearly,Not determined
575,Data Analyst,The Plum Guide,35.097 £/año,London,35.097,Yearly,Not determined
576,Data Analyst,ICX4,52.464 £/año,London,52.464,Yearly,Not determined
577,Data Analyst - Proveedor de servicios por hora,QuantSpark,35.623 £/año,London,35.623,Hourly,Not determined
